{'text': '对，输给一个女人，的成绩。失望', 'entities': '人物：说话者（未知）\n地名：无\n机构：无\n位置：未知'}
{'text': '@女汉纸在身边@小铅zz@-酸柠-看到了好多这种←_←妈蛋谁有小号让我来作一作', 'entities': '人物：女汉纸、小铅zz、酸柠\n位置：身边\n机构：无'}
{'text': '俩个富二代。。。什么时候都饿的人陈雨奇葩的世界', 'entities': '人物：陈雨奇\n地名：无\n机构：无\n位置：无'}
{'text': '我在看【视频：刘亦菲演唱：我是明星】：大爱刘亦菲[稀饭][稀饭][稀饭]http://t.cn/zW5BuVr（分享自@优酷音乐）', 'entities': '人物：刘亦菲\n地名：无\n机构：优酷音乐\n位置：无'}
{'text': '#白云山复方丹参母亲节让爱回家#白云山复方丹参母亲节让爱回家地址：http://t.cn/8seOeLE', 'entities': '人物：无\n地名：白云山\n机构：白云山\n位置：不确定，可能是白云山的某个地方。'}
{'text': '//@治愈系心理学:心在一起爱就在一起', 'entities': '人物：无\n地名：无\n机构：治愈系心理学\n位置：无'}
{'text': '可爱//@白喵黑喵都是喵://@宝榛的动物园儿ww:操碎了心[哈哈][哈哈]咋老乱跑呢', 'entities': '人物：白喵黑喵、宝榛\n地名：动物园\n机构：无\n位置：未知'}
{'text': '成人礼成人礼。。大师兄〜〜〜〜璐温人意', 'entities': '人物：大师兄\n地名：璐温\n机构：无\n位置：未知'}
{'text': '#北京工美为国安加油#好活动HOLD不住了，积极来参与，鼎力支持活动，每一次转发都是幸福的传递，每一次收获都是努力的结果，怀着感恩与饱满的热情来转发！地址：http://t.cn/zQHMJoh', 'entities': '人物：无\n地名：北京\n机构：北京工美\n位置：活动地址为http://t.cn/zQHMJoh，具体位置不明确。'}
{'text': '回复雯子小菇凉主要你夸我我太激动了爱你爱你爱你雯子小菇凉回复苦逼青年杨素晗骗你干吗，真心电到了，越来越有范了，以后跟领导你混了阴险', 'entities': '人物：雯子小菇凉、苦逼青年杨素晗、领导\n地名：无\n机构：无\n位置：无'}
{'text': '我叫赵新民什么意思啊？？？', 'entities': '人物：赵新民。'}
{'text': '【2011年是好莱坞大片集体爆发】加勒比海盗4，速度与激情5，变形金刚3，蜘蛛侠4，国家宝藏3，哈利波特7，碟中碟4，功夫熊猫2，专扁衰仔，灵魂战车2，福尔摩斯2，全民超人2，碟影重重4，纳尼亚传奇3，电子争霸2，天际浩劫，宿醉2，机械师，蝙蝠侠前传3，蓝精灵，钢铁苍穹，鼠来宝3', 'entities': '人物：无\n地名：好莱坞\n机构：无\n位置：加勒比海、国家宝藏、纳尼亚、天际浩劫、蓝精灵、钢铁苍穹'}
{'text': '明亮的眼神同样是诱惑人们视线的制胜武器之一！如何才能修饰原本不完美的眼形？眼线是唯一解决之道。即便是打造最最简单的妆容，彩妆师也不会跳过眼线这一步。圆眼形可通过眼线来将眼睛拉长提升，而眼间距较宽的话，则可以通过眼线将内眼角间距缩小，打造出风情万种的迷人眼眸。', 'entities': '人物：彩妆师\n地名：无\n机构：无\n位置：眼睛'}
{'text': '陈雨奇葩的世界什么时候都饿的人两位高富帅玩完又来簋街吃饭。。。。。四个人吃完的残局。。。困死了。回家睡觉。。', 'entities': '人物：陈雨奇、两位高富帅\n地名：簋街\n位置：可能是餐厅或者饭店\n机构：无'}
{'text': '【哈尔滨“婴儿安全岛”投用】地约53平方米，造价30万元，内有换气扇、小床、保温箱、延时报警装置等——这间粉色的“婴儿安全岛”于1月8日正式在哈市启用，位于哈尔滨大街的哈市儿童福利院大门口南侧，门口和屋顶设有卡通形象的婴儿安全岛指示标志。', 'entities': '人物：无\n地名：哈尔滨、哈市儿童福利院\n机构：无\n位置：哈尔滨大街的哈市儿童福利院大门口南侧'}
{'text': '温人意今天就深有体会好吗毛先森家的江小姐', 'entities': '人物：温人意、毛先森家的江小姐\n地名：无\n机构：无\n位置：无'}
{'text': '哈晓得车牌阿，我也要尝尝鲜~~~~//回复@合肥微吧:【好期待啊！！】芜湖公交车有免费WIFI啦…http://t.cn/zH3oZb2', 'entities': '人物：无\n地名：哈晓得、合肥、芜湖\n机构：合肥微吧、芜湖公交车\n位置：无'}
{'text': '【做魅力女人】1、善于发现生活里的美。2、养成看书的习惯。3、拥有品位。4、跟有思想的人交朋友。5、远离泡沫偶像剧。6、学会忍耐与宽容。7、培养健康的心态，重视自己的身体。8、离开任何一个男人，都会活得很好。9、有着理财的动机，学习投资经营。10、尊重感情，珍惜缘分~~~', 'entities': '人物：无\n地名：无\n机构：无\n位置：无'}
{'text': '我刚刚参加了#美团霸王餐#活动，中奖就可以免费去上海小南国吃霸王餐啦！小伙伴们一起来吧！http://t.cn/zRWxiU4http://t.cn/zRYLJ7C', 'entities': '人物：我、小伙伴们\n地名：上海、小南国\n机构：美团\n位置：未提及'}
{'text': '晒五一出游计划赢乐天大奖希望这份惊喜可以降临，给我的生活增添一点靓丽的颜色。同时祝愿小编工作顺利事事顺心，因为有我的祝福。...地址：http://t.cn/8s8LgKr', 'entities': '人物：小编\n地名：无\n机构：乐天大奖\n位置：无'}
{'text': '姐姐今天终于解放了，哈哈哈哈，今晚不醉不归！！！我在:http://t.cn/zHloVtD', 'entities': '人物：姐姐\n地名：无\n机构：无\n位置：http://t.cn/zHloVtD'}
{'text': '用一颗平常心来对待每一个活动，以一份真诚来打动小编的内心。或许我不是最幸运的那个粉丝，但我一定是最用心的哦！在此祝福小编工作顺利，我会一直支持你们的活动的~！地址：http://t.cn/8sdsaKq', 'entities': '人物：小编、粉丝\n地名：无\n机构：无\n位置：网络（链接地址为http://t.cn/8sdsaKq）'}
{'text': '我叫赵新民每天懂点风水学手机充电的时候千万不要接打电话会爆炸的关爱自己，关爱家人转敬请关注安卓精选', 'entities': '人物：赵新民\n地名：无\n机构：安卓精选\n位置：无'}
{'text': '羡慕@火星来的GRL郭日良你什么时候也给我煮一顿，难吃我不介意的[泪]', 'entities': '人物：GRL郭日良\n地名：火星\n机构：无\n位置：无'}
{'text': '肯德基的楚味鸡翅，我吃出了周黑鸭的味道[汗][汗]', 'entities': '人物：无\n地名：无\n机构：肯德基、周黑鸭\n位置：无'}
{'text': '别反抗了...你斗不过姐姐们的..哈哈哈啊哈...', 'entities': '人物：姐姐们\n地名：无\n机构：无\n位置：无'}
{'text': '第一次认真地看足球赛，终于恒大赢了中国足球雄起赞赞赞太棒了耶耶耶我在', 'entities': '人物：无\n地名：中国\n机构：恒大\n位置：未知'}
{'text': '我也觉得只有你，会想我花心花心花心花心小的妈咪无时无刻都在想你爱你爱你爱你暗英小英转发微博', 'entities': '人物：我、你、小的妈咪、暗英、小英\n地名：无\n机构：无\n位置：无'}
{'text': '#掌阅iReader阅读分享#人生旅途中，我们总是疲惫不堪，读读这本《豪门霸爱：龙少的甜心妻》吧！为了明天的希望！@掌阅iReaderhttp://t.cn/RhSHSXf', 'entities': '人物：龙少\n地名：无\n机构：掌阅iReader\n位置：无'}
{'text': '【世界上最没用的一句话】1.police：不要跑！2.国足：必胜！3.老师：同学们不要睡了！4.病人：医生，您轻点儿！5.女人：不要嘛！6.父母：孩子，不要闹了7.罪犯：我是冤枉的啊！8，烟盒上的那句“吸烟有害健康”10，“上帝会保佑你的”11.分手时：“对不起”。。。', 'entities': '1. police -  警察\n2. 国足 - 中国国家足球队\n3. 老师 - 教室\n4. 病人 - 医院\n5. 女人 - 场景不明确\n6. 父母 - 家庭\n7. 罪犯 - 监狱或法庭\n8. 烟盒上的那句“吸烟有害健康” - 烟盒\n9. 上帝会保佑你的 - 宗教场所或信仰\n10. 分手时：“对不起” - 场景不明确'}
{'text': '我叫赵新民全球最热门视频呃，期待下一篇。。。', 'entities': '人物：赵新民\n地名：全球\n机构：无\n位置：未指定'}
{'text': '很不爽的吻戏啊啊啊啊啊啊啊怒怒泪泪泪男演员ㅠㅠㅠㅠㅠㅠ爪机新壁纸换起来', 'entities': '人物：男演员\n地名：无\n机构：无\n位置：无'}
{'text': '胡劳斯昨儿生日快乐九班孩子是不是格外可爱胡劳斯快来爱九班吧依依', 'entities': '人物：胡劳斯、九班孩子\n地名：无\n机构：无\n位置：无'}
{'text': '#美丽西子湖，魅力凯悦行#转发此微博，希望有个好运气能好运哦@fr咎岩nku@laisiyuan@pou督仁娟xkhttp://t.cn/RP3UDoo', 'entities': '人物：@fr咎岩nku、@laisiyuan、@pou督仁娟xk\n地名：西子湖\n机构：凯悦行\n位置：不确定，可能是西子湖附近的某个地方。'}
{'text': '#寻找金秀贤#[笑哈哈]朋友不必很多，知心就好；牵挂不必很多，动情就好.~~!!!地址：http://t.cn/8snnlE3', 'entities': '人物：金秀贤\n地名：无\n机构：无\n位置：无'}
{'text': '教爸妈玩微博今报送智能手机·第二季谢谢主办方提供如此好礼。...地址：http://t.cn/8sQ7j0o', 'entities': '人物：爸爸、妈妈\n地名：无\n机构：今报送\n位置：不确定，可能是在网上或者在现实生活中。'}
{'text': '我叫赵新民哈哈哈啊哈哈哈笑话伤不起吃惊', 'entities': '人物：赵新民\n地名：无\n机构：无\n位置：无'}
{'text': '睡觉了，原本是跟猪猪的同学一起回去又发生变故，火车票高铁都已售罄，NND我又订的机票，国庆都没什么打折的八号八点多的票，还得在武汉住一晚，酒店也都满了，哎，早点睡吧明天再说我在:http://t.cn/zRLdKAb', 'entities': '人物：我、猪猪的同学\n地名：武汉\n机构：无\n位置：火车站或机场'}
{'text': '小和尚救蚂蚁:古时有位道高德重的僧人，静坐入定后，看见寺里一个小和尚，再过七天就要死了，因此便打发他回家看看父母，并告诉他到第八天再回寺里来，意思是让他死在自己家中。这小和尚到了限定的日子，果然回来了.', 'entities': '人物：道高德重的僧人、小和尚、小和尚的父母。\n地名：寺里、小和尚的家。\n机构：无。\n位置：寺里、小和尚的家。'}
{'text': '今天午餐吃的好满足，好开心~[飞个吻]一起买菜做菜，色香味俱全！[赞啊]回娘家的感觉~[羞嗒嗒]都是贤妻良母的典范~[好棒][推荐]虾sycL_Ting--榆荚-瑜', 'entities': '人物：虾sycL_Ting\n地名：榆荚\n机构：无\n位置：未知'}
{'text': '(⊙o⊙)哇[太开心][可怜][兔子][江南style]', 'entities': '人物：无\n地名：无\n机构：无\n位置：无'}
{'text': '哈哈哈哈哈哈吃布丁的维尼熊没兴趣，起来，我不厚道的笑了宋晚晚起开哈哈', 'entities': '人物：维尼熊，宋晚晚\n地名：无\n机构：无\n位置：无法确定，需要上下文信息。'}
{'text': '放下刘海帅多了有没有！？@现在是哈雷的阿阿宋@少芳子不要幼稚AND要真正变强大', 'entities': '人物：刘海、阿阿宋、少芳子\n地名：哈雷\n机构：无\n位置：未知'}
{'text': '【被蚊虫叮咬后怎么办】1.蚊虫叮咬后发生的局部红肿疼痛，涂些止痒剂，还可在红肿处擦碘伏；如果家中找不到这些药水时，可以用肥皂水代替2.如果有明显的红肿、破溃出水，可用3％的硼酸水冷敷，以后外涂抗生素软膏。如是宝宝被蚊虫叮咬应谨慎使用各药膏，以免伤害宝宝稚嫩的皮肤。http://t.cn/RPiyosl', 'entities': '人物：宝宝\n地名：家中\n机构：无\n位置：红肿处'}
{'text': '转发赢取联想平板A1000希望下一个幸运儿就是me地址：http://t.cn/zRirDuO', 'entities': '人物：无\n地名：无\n机构：联想\n位置：未知'}
{'text': '新浪微博客户端升级了！信息流图片加载速度提升；发布器支持多张图片一键分享；新增emoji、浪小花表情。观看视频，了解更多！http://t.cn/zTozVas我在全新微博客户端3.5.0，我为雅安祈福。下载地址：http://t.cn/zldQ2Cz', 'entities': '人物：无\n地名：无\n机构：新浪微博\n位置：无'}
{'text': '今儿成人礼了骑单车的少年要考驾照璐', 'entities': '人物：骑单车的少年\n地名：璐\n机构：无\n位置：未知'}
{'text': '泥巴说解解瘦了yanyi表示不服。。和解解吃素一个月我觉得现在我比她更瘦。。简直脱相。。。#一会删#', 'entities': '人物：泥巴、解解、yanyi\n地名/位置：无\n机构：无'}
{'text': '明天就试试//@老去的御姐:你给她搭配条白裤子，配个玫红皮带，挎个玫红小马包试试[哈哈]', 'entities': '人物：老去的御姐、她\n地名：无\n机构：无\n位置：无'}
{'text': '我叫赵新民哈哈哈哈笑死了以后我们监考也这样吧超级实用小百科老师您这是要赶尽杀绝吗？嘻嘻全球时尚最前线', 'entities': '人物：赵新民、小百科老师\n地名：无\n机构：无\n位置：无'}
{'text': '我叫赵新民一句脑残签名当马里奥大叔得了极品装备之后。。。', 'entities': '人物：赵新民、马里奥大叔\n地名：无\n机构：无\n位置：无'}
{'text': '生活化~NO.NO.NO...這恐怕是誤解...多人看說是金針菇.因為嘉哥說是火鍋料.但.這更像是梳子吧....//@阿润润:终于生活化了。恭喜', 'entities': '人物：嘉哥、阿润润\n地名：无\n机构：无\n位置：无'}
{'text': '复古毛衣是今年的热门单品，白色紧身裤甜美又清新，搭配军绿色工装风大衣和翻毛短靴，既少女又不做作。', 'entities': '人物：无\n地名：无\n机构：无\n位置：无'}
{'text': '吃惊泰迪吃惊冰凌灬小顽童丶真有吃惊进场要工作证不过阵容只是邀请名单最终能接受邀请来录制的阵容目前不确定我估计来不了有成员在日本有活动丶奥特曼加油看冰凌灬小顽童丶我正在核实可靠性。。。这也有点太不可思议了吃惊丶冰凌灬小顽童丶', 'entities': '人物：泰迪、冰凌灬小顽童、奥特曼\n地名：日本\n机构：录制机构\n位置：未确定的录制阵容'}
{'text': '#小澳U+家乡之旅——澳洲高宝河谷（GoulburnValley）#我一直憧憬着壮阔草原上真正的牧场生活，放牛、牧马、挤奶、割草，如果能到高宝河谷牧场去旅行，我想体验蓝天、白云、绿水、牛羊的牧场生活，看看高品质的牛奶到底是怎么诞生的。[给力][呵呵][鼓掌]', 'entities': '人物：无\n地名：小澳、高宝河谷（Goulburn Valley）\n机构：无\n位置：牧场'}
{'text': '[泪]太杯具了，每天2000个名额都没赶上！！今天查不了武汉通余额了，只有明天再来碰碰运气注册武汉通360（http://t.cn/aK5PgH）！[怒骂]', 'entities': '人物：无\n地名：武汉\n机构：武汉通360\n位置：不确定，可能是在武汉或者其他地方。'}
{'text': '【开源汽车】一辆“开源汽车”进入人们的视线，来自意大利OSVehicle的Tabby是全球首部开源汽车。3万块钱买回一堆零件，然后用一个小时自己动手组装一辆汽车，你可以选择油动、电动甚至混合动力。理论上，用户只要购买基础零件，在网上下载说明书和视频，像宜家那样自行组装，就能DIY一辆汽车。', 'entities': '人物：无\n地名：意大利\n机构：OSVehicle\n位置：网上（指DIY组装汽车的过程）'}
{'text': '//@天秤座蜜语:穷游泰国攻略！喜欢旅行的推荐关注@世界美景', 'entities': '人物：@天秤座蜜语\n地名：泰国\n机构：@世界美景\n位置：未指定'}
{'text': '#激情夏日乐购美国#【转发赢话费】激情夏日乐购美国DFS地址：http://t.cn/Rvn01F4', 'entities': '人物：无\n地名：美国\n机构：DFS\n位置：不确定，只知道DFS的地址为http://t.cn/Rvn01F4'}
{'text': '@打不败的晶晶姑娘人之所以漂是因為沒有歸屬感，感覺不到被他人需求。。。', 'entities': '人物：打不败的晶晶姑娘\n地名：无\n机构：无\n位置：无'}
{'text': '[汽车]全智贤代言韩都衣舍，天猫女装销量第一，http://t.cn/RvHg6Gv', 'entities': '人物：全智贤\n地名：无\n机构：韩都衣舍、天猫\n位置：无'}
{'text': '【平衡怪兽（POiSE）】是一款休闲益智游戏。游戏讲述了一个名叫斯派克的外星人有趣的冒险，它的宇宙飞船被小行星带击毁，它不得不在一颗颗小行星上挣扎，等待前来救援的飞船。而你，需要帮助它存活下来。', 'entities': '人物：斯派克\n地名：宇宙\n机构：无\n位置：小行星'}
{'text': '一年一次[哈哈][笑哈哈]coco小姐最爱的香奈儿香水http://t.cn/a1elzs活动期间【买二送一】[心]支持专柜验货，附带专柜小票[礼物]还支持30无理由退换货[礼物]亲们赶紧抢购吧!抢购地址》》http://t.cn/8sLhMDw', 'entities': '人物：coco小姐\n地名：无\n机构：香奈儿\n位置：专柜'}
{'text': '#冷兔早餐时间#大学时，男生寝室来了小偷，被大家发现了，一群男生开始追小偷，一哥们跑得特快，就在他快要追到时，这哥们往回一看，就剩他一人，吓得他立刻往回跑。~【转】各位童鞋早上好~', 'entities': '人物：男生寝室的学生、小偷、一哥们\n地名：大学\n机构：无\n位置：男生寝室'}
{'text': '//@欧美流行最前线:此君才唱了1秒，评选们就疯狂为他转身了，这才是真正的秒杀啊！', 'entities': '人物：此君、评选们\n地名：无\n机构：无\n位置：无'}
{'text': '#章鱼卡吧欢迎您#“章鱼卡吧”里有各种新鲜事儿，你可以同机智的“章小萌”聊聊消费娱乐，还可以认识一大波小伙伴。[酷库熊胜利]', 'entities': '人物：章小萌\n地名：章鱼卡吧\n机构：章鱼卡吧、酷库熊胜利\n位置：未指定'}
{'text': '[睡觉]//@飈颸颺:神啊//@财经网:【爱做梦的人伤不起】', 'entities': '人物：无\n地名：无\n机构：财经网\n位置：无'}
{'text': '哦～～，呵呵呵，如此甚好[可爱]//@宝辉:团队在一起，需要弱化自己，强化大家，合力同向是相加，反向也是相减。兼听则明，偏听则暗。多听各种意见，吸收，容汇，最终形成了集体意志。//@阿奎0406:嗯嗯[酷]//@廖Julie:深表赞同。团队能量和谐才能达到消耗最少的同时产出最大化。', 'entities': '人物：宝辉、阿奎0406、廖Julie；\n地名：无；\n机构：无；\n位置：无。'}
{'text': '[笑哈哈]coco小姐最爱香奈儿香水http://t.cn/a1elzs活动期间【买二送一】[心]机会不多[礼物]亲们赶紧抢购吧!抢购地址》》http://t.cn/8sLhMDw', 'entities': '人物：coco小姐\n地名：无\n机构：香奈儿\n位置：无'}
{'text': '转发送红米手机，2000元优惠券+留学讲座奖品非常好，朋友快来，希望幸运女神眷顾我.地址：http://t.cn/8sew76r', 'entities': '人物：无\n地名：无\n机构：红米手机\n位置：网页链接（http://t.cn/8sew76r）'}
{'text': '#牛进城了#想中奖吗？那你一定要来多多支持小编的工作啦!地址：http://t.cn/8sQZnpY', 'entities': '人物：小编\n地名：无\n机构：无\n位置：http://t.cn/8sQZnpY'}
{'text': '没有信仰的文化是苍白的；所谓纯道德的文化也必定是虚伪的！所以无论是从《道德经》到《论语》、还是从《三国》到《水浒》，无处不都充满了虚伪和愚民、充斥着伪道德和假仁义、充斥着吹捧权力和暴力的伪哲学。（回《赵本山金庸李银河是中国成为文化大国的三大障碍！》的贴）', 'entities': '人物：赵本山、金庸、李银河；地名：中国；机构：无；位置：未知。'}
{'text': '再次向飞行少女学习如何过马路！KeepRollin國蛋GorDoN铭铭的铭天', 'entities': '人物：飞行少女、KeepRollin、国蛋、GorDoN、铭铭\n地名：无\n机构：无\n位置：过马路'}
{'text': '#表达真我抢票818#杰伦来访，我们怎能不到场？！快来抢票和我一起去尽情表达真我明星篮球表演赛现场！http://t.cn/zWJGhCD', 'entities': '人物：杰伦\n地名：无\n机构：无\n位置：明星篮球表演赛现场'}
{'text': '夫妻相处是一门学问。女性在结婚后往往会忽略了一个细节。结婚前总是很注意自己的形象，婚后一起生活了，就无所谓形象了。男人在外见惯了美女，回家却对这个黄脸婆，时间久了就腻了。女人们，还不动起来，好好改变自己在家中的形象了！葭麗秀给您的生活添色彩！http://t.cn/zYE3xEF[害羞]', 'entities': '人物：女性、男人、葭麗秀；地名和位置：无；机构：无。'}
{'text': '//@体重失控的小胖子:我擦，白色眼镜@眞言joan//@曾丶四小姐:那个记忆力赛过外星人的老师。。[酷]//@汪阿丹:[鼓掌]//@Stella_Lee昕:致敬[鼓掌]@小财神007//@卖萌吃货半夏酱:当年她的课印象太深刻了//@魏民ISA2B:哈哈，军事理论老师！看来，全校都是她教的啊。。。//@豆豆肥和小猪高:集大神捕！我', 'entities': '人物：体重失控的小胖子、眞言joan、曾丶四小姐、汪阿丹、Stella_Lee昕、小财神007、卖萌吃货半夏酱、魏民ISA2B、豆豆肥和小猪高\n地名：无\n机构：无\n位置：无'}
{'text': '#完美洗护超越期待海尔洗衣机粉丝同城汇南宁站开始报名#有奖转发地址：http://t.cn/8sp6uKH', 'entities': '人物：无\n地名：南宁\n机构：海尔\n位置：同城汇南宁站'}
{'text': '快来说说我吧，@leo_晓暁@嘉俐carrie@www吴丹宁[心]', 'entities': '人物：@leo_晓暁、@嘉俐carrie、@吴丹宁[心]\n地名：无\n机构：无\n位置：无'}
{'text': '#2014徐浩朱元冰夏日签售会#你这么暖怎么能让人不爱呢！@朱元冰Ryanhttp://t.cn/RvFaJGS', 'entities': '人物：徐浩、朱元冰、Ryan\n地名：无\n机构：无\n位置：无'}
{'text': '广州823，SHE演唱会，至尊好座位，內场最前排1排1号，2号连坐！！两张一起拿送SHE签名一张哦[爱你][爱你]想要的赶紧行动起来！', 'entities': '人物：无\n地名：广州\n机构：SHE演唱会\n位置：至尊好座位，內场最前排1排1号，2号连坐'}
{'text': '土豪朋友去海南还不忘记捎上点特产寄给兄弟我��，何德何能非常感谢，兄弟我会好好享用的～哈哈哈', 'entities': '人物：土豪朋友，兄弟我\n地名：海南\n机构：无\n位置：无'}
{'text': '第一次换座位时，她坐他斜对角，他总是有事没事扭向她，跟她讲各种有趣事。后来的每次换位，她都会挑在他的斜对角，朋友经常会说他们有猫腻，她笑而不答。到了最后一次换位，他问“你挑的哪？”“你的斜对角”，“为什么从不做我同桌？”“不喜欢”。其实她只是习惯了那种感觉，能在背后看着他就好。', 'entities': '人物：她、他、朋友；地名：无；机构：无；位置：教室内。'}
{'text': '我叫赵新民送给十二星座的封信扑克牌不为人知的知识', 'entities': '人物：赵新民\n地名：无\n机构：无\n位置：无'}
{'text': '只爱原味心心心我是莉莉我爱魏晨呆阿呆是真汉子啊巴扎嘿原味最好吃橘子是橘不是菊薯片擼包包害羞看誰誰都是薯片擼包包我喜歡你這口味宅腐集中营自觉举手', 'entities': '人物：莉莉、魏晨、阿呆、包包\n地名：巴扎嘿\n机构：无\n位置：宅腐集中营'}
{'text': '[愛你][愛你][愛你][愛你][愛你]//@热水袋妹妹:[愛你]', 'entities': '人物：热水袋妹妹\n地名：无\n机构：无\n位置：无'}
{'text': '你，一个重要的过客，之所以是过客，因为你未曾为我停留。在我人生中撒下欢乐的种子，之所以只是种子而不开花，因为你未曾为它浇水施肥。划下我人生中的一根伤痕，之所以有伤痕，因为[飞机]你未曾温柔地怜悯过。给我一线的光明而瞬间带来全部的黑暗，之所以灰暗，因为你未曾想过为我照亮。', 'entities': '人物：你\n地名：无\n机构：无\n位置：无，可能是在心灵深处的感受和回忆中。句子中提到了飞机，但并不是一个具体的机构或位置。'}
{'text': '#我想和高晓松谈谈##我想和高晓松谈谈#用心转发，给力支持，祝小编天天开心，工作顺利，微博送暖，果实累累，期待在丰收的季节，得到一份收获http://t.cn/RPtu45H', 'entities': '人物：高晓松\n地名：无\n机构：无\n位置：无'}
{'text': '亲，以为端午可以带着相机来一场没有负担的旅行，可是物流也太慢了吧，还在广东，端午能赶到江苏吗', 'entities': '人物：未指定\n地名：广东、江苏\n机构：未指定\n位置：未指定'}
{'text': '你费了那么大劲才找到一个超会赚钱的老婆。——《生活大爆炸》2523461_20140216231045.jpg', 'entities': '人物：说话的人（未提及具体名字）、老婆\n地名：未提及\n机构：未提及\n位置：未提及'}
{'text': '【吃火锅放点生姜能去火】很多人喜欢吃火锅，可是有的在吃火锅两三天后，常常会出现咽喉、牙龈肿痛，舌尖、口腔溃疡、腹胀痛、腹泻、呕吐，甚至消化道出血等症状，有医学专家称之为火锅综合征。但是如果能在火锅的食物搭配上下些工夫，就可以减少这些症状的产生', 'entities': '人物：医学专家\n地名：无\n机构：无\n位置：火锅店或餐厅'}
{'text': '太萌了@八卦小神轩@CREATE弦月@一沫_', 'entities': '人物：八卦小神轩、CREATE弦月、一沫_\n地名：无\n机构：无\n位置：无'}
{'text': '有道理一句窝心话男人拖得起，你拖不起。', 'entities': '人物：男人、你\n地名：无\n机构：无\n位置：无'}
{'text': '对@廖锐琪说：想好没有？过了那么多天了、是时候决定了、有什么话快说，别等待。等待就是浪费青春[good]，加油。给我勇敢的说出来吧、', 'entities': '人物：廖锐琪\n地名：无\n机构：无\n位置：无'}
{'text': '走你年月日，我高贵的双足首次接触这矜持的大地，当时我在微博船票点，炷香之后，小姐和微博位置小位子也来到了同一个地方，哎呀这些死忠粉真是太烦人小位子，跪下，走你', 'entities': '人物：我、小姐、死忠粉\n地名：微博船票点\n机构：微博\n位置：未明确指定'}
{'text': '数学老师这么多作业请问你是疯了吗抓狂抓狂抓狂抓狂抓狂', 'entities': '人物：数学老师\n地名：无\n机构：无\n位置：无'}
{'text': '你儿子的靓照呢？晒晒@cp龙妈[嘻嘻][嘻嘻][嘻嘻]', 'entities': '人物：你的儿子、cp龙妈\n地名：无\n机构：无\n位置：无'}
{'text': '【白领十大最新评判标准】1、月薪2万元以上；2、坚持健身和运动；3、至少有两居室；4、有15万左右代步车；5、有固定的朋友圈子；6、工作不再局限于在办公室完成；7、工作朝九晚五；8、有独特的娱乐方式；9、重视低碳生活；10、有钟爱的时尚品牌。', 'entities': '人物：白领\n地名：无\n机构：无\n位置：无'}
{'text': '我觉得会不会有一天超级课程表改变我们的行为习惯呢，1秒就把课程表导入到手机，当蹭课变得轻松简单了，记笔记也不再费时了，那我们还有什么理由拒绝更便捷的学习方式呢？~我不要做一个找借口不学习的熊孩纸！http://t.cn/zHpyLes', 'entities': '人物：无\n地名：无\n机构：无\n位置：无'}
{'text': '。。不是第一蛮挖鼻屎璐回忆再美也不属于我苦逼青年杨素晗毛先森家的江小姐', 'entities': '人物：蛮挖鼻屎璐、杨素晗、毛先森、江小姐\n地名：无\n机构：无\n位置：毛先森家'}
{'text': '看到这场婚礼秀如此的成功，我觉得之前的一切辛苦都值了！感谢胡总的亲临，感谢武汉金玉缘的支持，最感谢的还是为这场婚礼秀付出的人儿们！@比糖甜一点@金玉缘叶莲@金玉缘吴佩@金玉缘高智雅@黄石金玉缘王萍//@金玉缘婚礼:恭喜恭喜，圆满成功！[鼓掌]我们都是最棒的。', 'entities': '人物：胡总、比糖甜一点、金玉缘叶莲、金玉缘吴佩、金玉缘高智雅、黄石金玉缘王萍；地名：武汉；机构：金玉缘婚礼；位置：未提及。'}
{'text': '【三大遗憾】：不会选择；不坚持选择；不断地选择。三不斗：不与君子斗名，不与小人斗利，不与天地斗巧。三修练：看得透想得开，拿得起放得下，立得正行得稳。人生三大陷阱：大意、轻信、贪婪。人生的三大悲哀，遇良师不学，遇良友不交，遇良机不握。三件事不能硬撑：花钱，喝酒，婚姻。', 'entities': '人物：无\n地名：无\n机构：无\n位置：无'}
{'text': '#MIUI更新#爱网络，爱自由，爱搞机，更爱最好用的MIUI系统。我不是什么高富帅，不为谁代言，我是MIUIer，只代表我自己。我和你一样，我是米粉。我已经升级到MIUI-3.12.20，赶紧来@MIUI米柚社区试试吧！http://t.cn/8kp5M8t', 'entities': '人物：无\n地名：无\n机构：MIUI米柚社区\n位置：无'}
{'text': '//@微博搞笑排行榜:穷游泰国攻略，你准备好了吗？[心]@我叫孙建彬', 'entities': '人物：@微博搞笑排行榜、@我叫孙建彬\n地名：泰国\n机构：无\n位置：无'}
{'text': '#天翼3G菜鸟训练营#下午要汇报表演了，我们的军训也即将结束。先好好休息，养足精神，下午好好表现。希望我们方队能顺利完成任务，朋友们，加油哦！！！@翼想天开工作室', 'entities': '人物：无\n地名：无\n机构：天翼3G菜鸟训练营、翼想天开工作室\n位置：无'}
{'text': '威武南京零距离最牛毕业证威武', 'entities': '人物：无\n地名：南京\n机构：无\n位置：威武南京'}
{'text': '哎哟我去老干妈哈哈哈哈哈哈泰翻快粗来泪泪泪一又二分之一的夏天百度贴吧尼坤蒋劲夫独家专访一又二分之一的夏天剧组', 'entities': '人物：尼坤、蒋劲夫\n地名：百度贴吧\n机构：一又二分之一的夏天剧组\n位置：不确定，句子中未提及。'}
