{'text': '漫步在这山间的小道上', 'predict': '关系名：Located'}
{'text': '黄果树观瀑布的旅游车从安顺出发', 'predict': 'Part-Whole（部分-整体）'}
{'text': '因为这种样式有三个衣袋,左胸的袋口横斜着', 'predict': 'Part-Whole'}
{'text': '现在各家各户平时茶几上都摆放各种水果，有的水果还是漂洋过海进来的', 'predict': 'Part-Whole (部分-整体)'}
{'text': '五爷是少年的本家爷爷，少年的爷爷排行老大', 'predict': "'少年'和'少年的爷爷'属于'Family'（家庭）关系。"}
{'text': '如果说南国的江城像一位身高体壮伟岸的帅哥', 'predict': '\'南国的江城\'和\'南国\'属于"Located"关系。'}
{'text': '这时，喜棚外，鞭炮劈哩啪啦地响起来', 'predict': "这句话中的'喜棚外'和'鞭炮'属于'Located'（位置关系）的关系。"}
{'text': '屠格涅夫躺在别墅里的一张床上告别人世', 'predict': "句子中的'别墅'和'床'属于'Located'（位置关系）的关系，因为它们描述了屠格涅夫所在的位置。"}
{'text': '请了一个农村师傅为我做了两件衣服,一条裤子。一件衣服是青年服', 'predict': "'一条'属于Part-Whole关系，'一件衣服'属于General-Special关系。"}
{'text': '塔克拉玛干大沙漠，并在那里见到了沙漠英雄树胡杨。我们组建了沙漠运输车队，担负向沙漠腹地运送钻井设备的任务。', 'predict': "'那里'属于Located关系，'沙漠腹地'属于General-Special关系。"}
{'text': '毛巾、糖果、饼干等礼品。', 'predict': "句子中的'糖果'和'礼品'属于Part-Whole关系。"}
{'text': '我的父母知道我们买房子的事后也凑了一万多', 'predict': 'Family'}
{'text': '还有湖心餐厅摆放着的露天太阳伞，帆布和拉环乍然作响', 'predict': "'湖心餐厅'和'露天太阳伞'属于'Located'关系。"}
{'text': '一块块梯田状、不规则的庄稼地，披上了一层金黄色的盛装，有高粱粟，有水稻，有玉米，有黄豆等等。', 'predict': "'庄稼地'属于Part-Whole关系，'黄豆'属于General-Special关系。"}
{'text': '从林间升起袅袅的炊烟，牵动农人归家的情绪', 'predict': 'Part-Whole（部分-整体）关系。因为“林间”和“升起袅袅的炊烟”是构成整个景象的部分。'}
{'text': '沿溪两旁，有许多枝荣叶茂的桫椤树，它们是林中的娇子', 'predict': '关系：Located'}
{'text': '新郎新娘向大家敬酒，客人们纷纷举起酒杯向新人祝福', 'predict': '\'客人们\'和\'酒杯\'属于关系"Part-Whole"，因为客人们举起的酒杯是整体中的一部分。'}
{'text': '然后在灶膛里横放一根木柴，待燃烧时再在横着的木柴上向里竖置两根短木柴', 'predict': "'灶膛'和'木柴'属于'Part-Whole'关系。"}
{'text': '想起那传颂千古的趣闻轶事、绚丽篇章?弄堂用青石板铺就', 'predict': '关系：Located'}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'丝绸之乡'属于General-Spicial关系，'彭祖山'属于Located关系。"}
{'text': '“你和儿子不是早就住了三室一厅吗?”', 'predict': '关系：Family'}
{'text': '看着渐渐落下的太阳，我蹲在路上哭了起来。这时从路边小屋里走出来一个好心的大叔', 'predict': '太阳属于"Located"关系，一个好心的大叔属于"General-Special"关系。'}
{'text': '村民们在栽种竹子的时候就把水竹栽在山脚或是房前屋后土脚厚的地方', 'predict': '村民们属于Social关系，房前屋后属于Located关系。'}
{'text': '为了我安心在大学读书，母亲又把我的儿子接到她教书的学校。', 'predict': "'母亲'和'我的儿子'属于'Family'（家庭）关系。"}
{'text': '此山东与淡竹乡林坑村为邻，西与苍山村相连，南与柯思西平村接壤，北与前坑村毗连', 'predict': "'山'和'前坑村'属于'Near'（邻近）关系。"}
{'text': '村后，整个公盂岩巍峨鼎立', 'predict': '这个句子中的\'村\'和\'公盂岩\'属于"Located"（位置关系）的关系，因为\'村\'和\'公盂岩\'之间描述了它们的相对位置。'}
{'text': '乡亲们都称他是捕鱼捉虾钩蚬的能手，这几年', 'predict': '属于的关系是Social。'}
{'text': '把它放到了一只正在苦苦寻觅食物的蚂蚁面前，想看看会发生什么。', 'predict': '它和一只正在苦苦寻觅食物的蚂蚁面前属于"Near"关系。'}
{'text': '还有一些小作坊里的手艺人，正在精心打造一件银首饰，或箍一只精巧的“子孙桶”，他们纯熟而精准的动作都让我感觉趣味横生。', 'predict': "'一些小作坊里的手艺人'属于'Located'关系，而'一只精巧的“子孙桶”'属于'Part-Whole'关系。"}
{'text': '那时候，我们暑假就到农村外婆家。我们最喜欢吃豆腐。记得有一次，母亲去了璧山，临走时说回来吃午饭。舅舅说：“你们三姊妹和外婆在家磨豆腐吧!”', 'predict': '关系名：Family'}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'美酒之乡'属于关系名 'General-Special'，而'彭祖山'属于关系名 'Located'。"}
{'text': '心想：你牛儿<N>挂零了吧!当初我们同在一个生产队里挣工分', 'predict': "'你'和'我们'属于Social关系。"}
{'text': '胎儿也是不幸的;有的孕妇家中生活条件非常好，吃的金食玉宴，有人扶持，饭来张口衣来伸手，听着音乐唱着歌', 'predict': "关系名：Part-Whole\n';有的孕妇'属于'家中生活条件非常好'的一部分，'手'属于'衣来伸手'的一部分。"}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'岷江'属于关系名'Near'，'丝绸之乡'属于关系名'General-Special'。"}
{'text': '他将竹篙在水中击打几下，就有鳊鱼鲫鱼草鱼黑压压地来了', 'predict': "'水中'属于'Located'关系，'草鱼'属于'Part-Whole'关系。"}
{'text': '过去林业工人使用手锯伐木头', 'predict': "过去林业工人使用手锯伐木头中，'过去林业工人'和'手锯'属于'Use'关系，即过去林业工人使用手锯来伐木头。"}
{'text': '随后将一把十多公斤重的铁锚抛入河底，这样小船就被固定在河水中', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '公孟山，位于浙江省仙居县西北部田市镇公孟村，离县城约<N>公里，峰顶海拔<N>米左右，坐落在国家重点风景名胜区公盂景区，是景区的核心地带。', 'predict': "'公孟山'属于'Located'关系，而'国家重点风景名胜区公盂景区'属于'General-Special'关系。"}
{'text': '在池塘里养鱼，飞絮的芦花成了诗人笔下的浪漫', 'predict': '池塘和鱼属于"Part-Whole"（部分-整体）关系，因为池塘包含了养鱼这个部分。'}
{'text': '一位姓沈的老者从河底钩上一只蚬子，他从铁钩上取下蚬子时对我们说：“你们平时只知道钩蚬子', 'predict': '关系：Social'}
{'text': '树干向外，树枝向上。', 'predict': 'Part-Whole（部分-整体）'}
{'text': '王琦瑶晚年生活应该说是满足的，女儿薇薇与丈夫双双赴美', 'predict': 'Family'}
{'text': '一件衣服是青年服,这是我看见别人穿着最羡慕的。因为这种样式有三个衣袋,左胸的袋口横斜着', 'predict': "'青年服'和'三个衣袋'属于'Part-Whole'（部分-整体）关系。"}
{'text': '塔克拉玛干大沙漠，并在那里见到了沙漠英雄树胡杨。我们组建了沙漠运输车队，担负向沙漠腹地运送钻井设备的任务。', 'predict': "'我们'属于'Social'关系，'沙漠腹地'属于'Located'关系。"}
{'text': '特别是三年自然灾害时期，人们吃不饱，有的吃糠咽菜，吃住行用的东西极其缺乏，全凭票供应。', 'predict': "'人们'和'票'属于General-Special（一般特殊）关系。"}
{'text': '成了大地上永恒的“路碑”。', 'predict': 'Part-Whole'}
{'text': '节假日我和姐姐同农村青年一道', 'predict': "句子中的'我'和'姐姐'属于'Family'（家庭）关系。"}
{'text': '蔡妮是位勤劳善良的女孩，她任劳任怨的没日没夜的干活。', 'predict': '关系名：Family'}
{'text': '一年冬，他随军转战南方，路过家乡，看望妻子阿梅。', 'predict': "'他'和'妻子'属于'Family'（家庭）关系。"}
{'text': '“老太太去世了，老先生在殡仪馆为老太太梳头时，嘴里嘀咕着：你安心地去吧!', 'predict': '关系名：Family'}
{'text': '我想到许多，部长和助理的话一次次在我脑海中闪过', 'predict': '关系：Social'}
{'text': '“那些伸出了院墙的花朵，透出几丝暧昧', 'predict': '关系名：Located'}
{'text': '大夫第的台门，天芝堂的匾额', 'predict': '关系：Part-Whole\n\n大夫第的台门是大夫第的一部分，属于Part-Whole关系。而天芝堂的匾额和大夫第没有明显的关系，无法确定其所属的关系类型。'}
{'text': '父亲总是喜欢把电子琴放在自行车的横杠上', 'predict': '属于"Part-Whole"（部分-整体）关系。'}
{'text': '<N>年，西洞庭摘得了“全国红旗农场”的桂冠', 'predict': '关系名：Located'}
{'text': '都是我对你积累的爱情，为何又在爱情的臂弯里沉沦，我抬头看了看月亮和你的脸，美满得像不能分开的心', 'predict': '关系名：Social'}
{'text': '更心悸的是一只没看清是什么的小动物，怵地从我脚前窜入竹林深处，不知道它从哪里跑出来', 'predict': '小动物和我脚前属于"Near"关系。'}
{'text': '家里没有钱，我们穿的衣服破了，母亲就用布补', 'predict': "'我们'和'母亲'属于'Family'（家庭）关系。"}
{'text': '“你们平时只知道钩蚬子，吃蚬肉，喝蚬汤，拿蚬子卖钱花', 'predict': '关系：Social'}
{'text': '母亲最会做鞋，布鞋、棉鞋、方口鞋、圆口鞋都会做', 'predict': "句子中的'鞋'属于Part-Whole关系，'方口鞋'属于General-Special关系。"}
{'text': '红薯撑破了地皮，高粱涨红了脸，棉花笑开了花', 'predict': '句子中的\'高粱\'和\'脸\'属于"General-Spicial"（一般-特殊）关系，因为高粱是一种作物，而“红了脸”是形容高粱的状态，即高粱变得红了。'}
{'text': '睡梦中，她也微微发出呼吸的声音，像是随着伴奏在唱…', 'predict': 'Part-Whole（部分-整体）'}
{'text': '把村里村外的黄泥路浇上了水泥，成为了真正的康庄大道。', 'predict': '\'黄泥路\'和\'水泥\'属于"Part-Whole"（部分-整体）关系。'}
{'text': '乡里从村里选拔文艺骨干参加县里的汇演，他俩就是那时认识的。他会拉', 'predict': '关系：Social'}
{'text': '一旁的母亲很自然地用手帮我把嘴角的饭粒擦去', 'predict': "句子中的'母亲'和'我'属于'Family'（家庭）关系。"}
{'text': '流光溢彩的霓虹把树影连同游人的影子，投于暑气尚未消尽的月湖公园麻石地设或草坪上。', 'predict': '树影和草坪属于Located关系，即位置关系。'}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'佳茗之乡'属于关系名'旅游之乡'，而'峨眉山'也属于关系名'旅游之乡'。"}
{'text': '有一户姓苟的船民常年在淮河行船做生意。家里有妻子和一个呆傻的儿子。', 'predict': '一户姓苟的船民属于"Social"关系，家里属于"Part-Whole"关系。'}
{'text': '更无一人想起父亲干涉过自己的丁点小事，就连我们姊妹五人的婚姻大事', 'predict': 'Family'}
{'text': '我外婆病在床榻，临终时睁着一双昏浊板滞的眼睛，盼望着能见到母亲一面。', 'predict': "'我外婆'属于'Family'关系，'一双昏浊板滞的眼睛'属于'Part-Whole'关系。"}
{'text': '小径躲在树林里，人们躲在小径里，寻找属于自己的一片天地，似乎只有在这里才能完美和静化自己…', 'predict': "'人们'属于Social关系，'这里'属于Located关系。"}
{'text': '摁着孙儿的头取笑说：“大脑壳、猪脑壳”', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '请你细看看长堤上这些婀娜多姿的垂柳吧', 'predict': '关系：Located, Part-Whole'}
{'text': '<N>年，西洞庭摘得了“全国红旗农场”的桂冠，<N>年被评为“全国农垦先进单位”，<N>年', 'predict': '属于"General-Special"（一般特殊关系）。'}
{'text': '可路边却是如此灿亮的座座银峰。', 'predict': "'路边'属于'Located'关系，'如此灿亮的座座银峰'属于'General-Special'关系。"}
{'text': '把我从青年带入中年。父亲在埋葬完祖母的那一瞬', 'predict': "'我'和'带入中年'属于'Part-Whole'关系。"}
{'text': '退休干部高老，两年前老伴去世，子女不在身边', 'predict': '关系：Family'}
{'text': '透着凉丝丝的风;四人一行，两男两女，向着金黄的稻田走去。一个男人扛着拌桶，一个男人挑着箩筐;两个女人手拿锯镰刀', 'predict': 'Part-Whole (部分-整体)关系。'}
{'text': '看着渐渐落下的太阳，我蹲在路上哭了起来。这时从路边小屋里走出来一个好心的大叔', 'predict': "'路上'属于'Located'关系，'一个好心的大叔'属于'Social'关系。"}
{'text': '然后抓住蔡妮割下她的舌头，随手扔到了淮河里', 'predict': 'Part-Whole'}
{'text': '“老太太去世了，老先生在殡仪馆为老太太梳头时，嘴里嘀咕着：你安心地去吧!', 'predict': 'Part-Whole（部分-整体）关系。老先生是梳头的一部分，而头是被梳理的整体。'}
{'text': '后来村干部在水井周围浇上了水泥地，更方便了村民们汲水。', 'predict': '\'水井周围\'和\'水泥地\'属于"Part-Whole"关系。'}
{'text': '塔克拉玛干大沙漠，并在那里见到了沙漠英雄树胡杨。我们组建了沙漠运输车队，担负向沙漠腹地运送钻井设备的任务。', 'predict': "'胡杨'属于Part-Whole关系，'沙漠腹地'属于Located关系。"}
{'text': '在工矿企事业单位的职工，都实行了双休日', 'predict': "'工矿企事业单位'和'职工'属于'General-Special'（一般-特殊）关系。"}
{'text': '如浩浩长空中的繁星，如巍巍群峰间的碧玉', 'predict': '属于"Located"（位置）关系，因为它描述了"浩浩长空中的繁星"在"浩浩长空中"的位置。'}
{'text': '塔克拉玛干大沙漠，并在那里见到了沙漠英雄树胡杨。我们组建了沙漠运输车队，担负向沙漠腹地运送钻井设备的任务。', 'predict': '塔克拉玛干大沙漠和胡杨属于"Located"（位置）关系，因为句子中描述了它们的位置。'}
{'text': '一条结结实实的小路将它与果林分开', 'predict': '关系：Part-Whole'}
{'text': '当困惑的舢板在平静的海面随性而自在地游荡时', 'predict': '舢板和海面属于"Located"关系，即位置关系。'}
{'text': '有了兴致的时候，祖父就划着小船，穿过一片清悠悠的河面', 'predict': '关系：Part-Whole\n祖父是小船的一部分，即祖父是划着小船的人。'}
{'text': '马路旁的车牌换了一次又一次，家里的电脑也从普通屏的换成了液晶屏的', 'predict': "'家里'和'电脑'属于'Part-Whole'关系。"}
{'text': '请了一个农村师傅为我做了两件衣服,一条裤子。一件衣服是青年服', 'predict': "'衣服'和'一件衣服'属于'Part-Whole'关系。"}
{'text': '遇到一对白发古稀夫妇，他们微躬着腰', 'predict': '关系：General-Special'}
{'text': '一旁的母亲则拿着一把黄色木柄的水果刀，慢慢的把一个红中带黄的苹果削成一片一片', 'predict': '关系：Part-Whole'}
{'text': '瓶窑村的北村口，有一口水井，不知它是哪个朝代的', 'predict': '关系：Located, Part-Whole\n\n瓶窑村属于“Located”关系，而水井属于“Part-Whole”关系。'}
{'text': '我忽然想到<N>世纪<N>年代初，一群白衣战士理想燃烧的激情，听从时代召唤，乘着汽车奔赴北疆创业', 'predict': '关系名：General-Special。'}
{'text': '然后去地里挖回核桃树皮，放一口锅里煮上几天', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'丝绸之乡'属于Part-Whole关系，'瓦屋山'属于Located关系。"}
{'text': '同时胎儿也是幸福的;刚翻身时的孕妇生育，掀开炕席铺上草，孩子哇一生落草而生', 'predict': "'孩子'和'草'属于Part-Whole关系。"}
{'text': '这时从路边小屋里走出来一个好心的大叔，他先把我领到家里给我吃了一个滚热的山芋', 'predict': '关系：General-Specific'}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'鱼米之乡'属于General-Special关系，'峨眉山'属于Located关系。"}
{'text': '为了捕捉一线生机，母亲为姐姐的婚事筹划，由姨妈介绍去了成都。', 'predict': "'母亲'和'姨妈'属于'Family'（家庭）关系。"}
{'text': '这座静静地矗立在白杨河沟口的黑色巨石上的古城，却成了一堆废墟。石子泥土夯就的城墙，已经被风切割再切割', 'predict': '古城和城墙属于Part-Whole关系。'}
{'text': '经过几个回合的考验，他确实是个好老头…', 'predict': "'他'和'好老头'属于'General-Special'关系。"}
{'text': '杀猪匠、主人家和帮忙的人均松了一口气;此时', 'predict': '关系名：Family'}
{'text': '演出结束后，波丽娜随团离开俄国，屠格涅夫失魂落魄', 'predict': '关系：Unknown'}
{'text': '中华是世界上四大文明古国之一。', 'predict': '中华和四大文明古国之一属于"Part-Whole"（部分-整体）关系。'}
{'text': '流光溢彩的霓虹把树影连同游人的影子，投于暑气尚未消尽的月湖公园麻石地设或草坪上。', 'predict': "'游人的影子'属于'General-Special'关系，而'草坪'属于'Part-Whole'关系。"}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'酒都'和'旅游之乡'属于General-Special(一般特殊关系)。"}
{'text': '发现园塘村是真正的竹村，山湾湾里、溪水两旁和房前房后都是一丛丛青青的黄竹，它们与青山绿水组成绿色的海洋', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '设想一下一个人夜里打黑瞎子发生了人身伤害，我们更无法向上级和他的家人交代', 'predict': "'我们'和'他'属于Social关系。"}
{'text': '在波士顿郊外的家园，有我喜爱的百草园。', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '淮河蚬是淮河里的独特产物。蚬肉具有很高的营养价值', 'predict': '关系名：Located'}
{'text': '同时胎儿也是幸福的;刚翻身时的孕妇生育，掀开炕席铺上草，孩子哇一生落草而生', 'predict': "'刚翻身时'和'孩子'属于'Part-Whole'关系。"}
{'text': '塔克拉玛干大沙漠，并在那里见到了沙漠英雄树胡杨。我们组建了沙漠运输车队，担负向沙漠腹地运送钻井设备的任务。', 'predict': '车队和沙漠腹地属于"Part-Whole"（部分-整体）关系。'}
{'text': '“我们兄妹几岁，父亲就去世了', 'predict': '关系：Family'}
{'text': '是对疼她、关心她的人给以无情的伤害和打击。我想，这种人要自救', 'predict': '在这个句子中，\'我\'和\'这种人\'属于"Unknown"关系，因为句子中没有明确指定它们之间的关系。'}
{'text': '我在紫竹院的大风中冷坐，衣衫被风吹得张扬起来', 'predict': '根据句子的语境，\'我\'和\'衣衫\'属于"Located"（位置关系）的关系。因为句子中描述了\'我\'在紫竹院的大风中冷坐，\'衣衫\'被风吹得张扬起来，这两个实体都与位置相关。'}
{'text': '后来听说他是出身优裕的知识分子党员。', 'predict': "'他'和'知识分子党员'属于'General-Special'（一般特殊）关系。"}
{'text': '“那些伸出了院墙的花朵，透出几丝暧昧', 'predict': 'Part-Whole (部分-整体)关系。'}
{'text': '品尝到了两次她家的咸肉、咸蛋，更坚定了他天天来矮墙静坐的信心。', 'predict': '关系：Part-Whole'}
{'text': '不管怎么吃，这蚬肉都是鲜嫩可口的美味佳淆。', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '跑到了另一间卧室。不是没有地方睡', 'predict': '另一间卧室和地方属于"Part-Whole"（部分-整体）关系。'}
{'text': '我爱人是教导主任', 'predict': 'Family'}
{'text': '我感到喜悦与兴奋时，一个人出外散步，头脑更清醒。', 'predict': "'我'和'头脑'属于'Part-Whole'关系。"}
{'text': '露出数名垂钓者的身影，阳伞高撑', 'predict': 'Part-Whole (部分-整体)'}
{'text': '我问外孙，那座桥像什么呀?外孙说像彩虹。', 'predict': 'Family (家庭)关系。'}
{'text': '黄河长江是中国最宝贵的河道，长江成为中国内河航运的大动脉，长江长<N>千米，水系河道<N>.<N>余万米。', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '有一些纸屑在地上打旋', 'predict': 'Part-Whole（部分-整体）'}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'沱江'属于关系名为'鱼米之乡'的关系，'瓦屋山'属于关系名为'旅游之乡'的关系。"}
{'text': '我走后他把事情如实向武装部长做了汇报', 'predict': "'他'和'武装部长'属于General-Special（一般特殊）关系。"}
{'text': '我们经常会边拾干柴边嘻嘻哈哈地采摘野果，即使手脚被划破流血了', 'predict': "'我们'属于'Social'关系，'手脚'属于'Part-Whole'关系。"}
{'text': '设想一下一个人夜里打黑瞎子发生了人身伤害，我们更无法向上级和他的家人交代', 'predict': "句子中的'黑瞎子'属于Part-Whole关系，'他'属于General-Special关系。"}
{'text': '这样改造对溪两边的农田增加了灌溉量', 'predict': "'溪两边'和'农田'属于'Part-Whole'关系。"}
{'text': '也感动了许多人，我在感动之余', 'predict': 'Social'}
{'text': '峡谷两侧的崖壁皆为红色石英砂岩', 'predict': '属于“Part-Whole”（部分-整体）关系。'}
{'text': '朋友将相机举至我们面前，兴奋地说道：“你们看', 'predict': "'相机'和'我们面前'属于'Located'（位置关系）的关系。"}
{'text': '而后大叔和大婶两个人就点了一盏小马灯', 'predict': 'Family（家庭关系）'}
{'text': '又知道，百合是高档蔬菜、甜口良药', 'predict': '关系：Part-Whole'}
{'text': '临湖的一株桂树下，随便地摆放着一张极为简约的小茶几，两把简约的小躺椅。', 'predict': "'湖'属于'Located'关系，'小茶几'属于'Part-Whole'关系。"}
{'text': '我和哥哥就当推磨手', 'predict': '根据句子“我和哥哥就当推磨手”，可以判断“我”和“哥哥”属于“Family”（家庭）关系。'}
{'text': '公元<N>年)最后在广州今法政路附近的湛家大街、湛家一巷至湛家五巷一带兴建“湛家园”', 'predict': "'广州今法政路附近'和'湛家大街、湛家一巷至湛家五巷一带'属于'Located'（位置关系）的范畴。"}
{'text': '如茫茫高原上的牛羊', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '江城四周也有山峦巍峨耸立', 'predict': '属于"Located"关系，即"江城"位于"山峦"四周。'}
{'text': '幸好<N>年重庆水轮机厂到璧山招工，母亲闻讯后急急忙忙连夜跑到乡政府，向乡政府领导诉说自己年轻时如何失去丈夫，而今生活如何艰难', 'predict': "'母亲'属于'Family'关系，'年轻时'属于'Part-Whole'关系。"}
{'text': '河边的水草里、稻田里时常见到水鸟的窝，水鸟的蛋，有时还有刚出壳的雏鸟。', 'predict': "'稻田'属于'Located'关系，'雏鸟'属于'Part-Whole'关系。"}
{'text': '然后将上端绑在一根长长的竹杆上(河水越深用的竹杆就越长)。', 'predict': 'Part-Whole (部分-整体)关系。'}
{'text': '我回到公社把情况如实向公社武装部助理刘玉章做了汇报', 'predict': '公社和公社武装部助理刘玉章属于"Located"关系，即实体之间的位置关系。'}
{'text': '珠海淇澳岛上的淇澳村，就是这样一个颇富盛名的小渔村。', 'predict': '珠海淇澳岛上的淇澳村和珠海淇澳岛上属于"Located"（位置）关系。'}
{'text': '宽约<N>多米，一个天然石穴藏在垂帘瀑后。', 'predict': "根据句子的描述，'一个天然石穴'和'垂帘瀑后'之间的关系应该是“Located”（位置关系）。因为“一个天然石穴”被描述为“藏在”“垂帘瀑后”，说明它们的位置关系是相互依存的。"}
{'text': '或许这也和母亲过去勤俭惯了有关系吧，我也不再犹豫', 'predict': '关系：Family'}
{'text': '由开街之始街上最著名的重点建筑是湛若水的广州故居和他的学馆而得名。', 'predict': "'最著名的重点建筑'属于'Part-Whole'关系，'他'属于'Owership'关系。"}
{'text': '还特地为吴藤川作了一首杖铭，亲笔写了，让人刻在这艰手杖上，那一首权铭是：“嗟!', 'predict': 'Part-Whole'}
{'text': '人们眼前总会浮现洞庭湖万顷波涛的水天，云絮般洁白的片片渔帆', 'predict': '属于"Located"关系。'}
{'text': '我又问牛儿吃的咋办。邻居说得更展劲了：嗨，国家有低保，他弟去领来买米煮熟了端给他吃。', 'predict': "'牛儿'和'他弟'属于'Family'（家庭）关系。"}
{'text': '我的月工资是<N>个工资份(每个工资份约买<N>斤米)，我爱人的月工资是<N>个工资份。', 'predict': "根据句子中的描述，'我'和'爱人'属于'Family'（家庭）关系。"}
{'text': '晚饭后，我与老伴带上外孙', 'predict': "'我'和'老伴'属于'Family'关系。"}
{'text': '现在市场上的东西又多又便宜', 'predict': "'市场上'和'东西'属于'General-Special'（一般-特殊）关系，因为它们是具体事物的一般概念。"}
{'text': '生产队长娇守云对我说：这几天东南沟蜂场有黑瞎子搬蜂箱', 'predict': '关系名：Social'}
{'text': '山上生长着许多草药，有认识的和不认识的', 'predict': "'山上'和'草药'属于'Located'（位置）关系。"}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'岷江'和'犍为郡'属于关系名为'鱼米之乡'的关系。"}
{'text': '我想小树总有一天会感受到母亲天天给她的甘露和雨水。', 'predict': "'她'属于'General-Special'关系，'她的甘露和雨水'属于'Part-Whole'关系。"}
{'text': '他头发胡子显然得到了修整。穿一件毛领黄色皮大衣，戴一顶翻毛黄军帽，再蹬一双翻毛黄皮鞋，俨然一副军官相。他手指上还钩着一个“保温杯”', 'predict': '关系：General-Special\n\n他指的是描述的人物，而军官是对这个人物的特定描述。因此，他和军官属于General-Special关系。'}
{'text': '塔克拉玛干大沙漠，并在那里见到了沙漠英雄树胡杨。我们组建了沙漠运输车队，担负向沙漠腹地运送钻井设备的任务。', 'predict': '塔克拉玛干大沙漠和沙漠腹地属于"Located"关系。'}
{'text': '看着渐渐落下的太阳，我蹲在路上哭了起来。这时从路边小屋里走出来一个好心的大叔', 'predict': '这时属于时间关系，一个好心的大叔属于部分-整体关系。'}
{'text': '把衣服拿到这里来洗。后来村干部在水井周围浇上了水泥地', 'predict': "'这里'属于'Located'关系，'水井'属于'Part-Whole'关系。"}
{'text': '我特意与姚主任商量', 'predict': 'Part-Whole'}
{'text': '它们放到水肥的地方它们能生长', 'predict': 'Part-Whole（部分-整体）'}
{'text': '中国(蚌埠)花鼓灯歌舞节火样红，帅字旗飘半空，斗大的“鼓”', 'predict': '句子中的\'帅字旗\'和\'半空\'属于"Located"关系。'}
{'text': '尔后又到银材图书室参观，并采访了有关创建图书室的初衷及捐资赠书情况(图书室是<N>年在村委和谢松生老人的大力支持下创建的)。', 'predict': "'图书室'属于'Create'关系，'谢松生老人'属于'General-Special'关系。"}
{'text': '你是人间的四月天。”', 'predict': "句子中的'人间的四月天'和'人间'属于'General-Special'（一般特殊关系）。"}
{'text': '彩钢的房盖，彩钢窗的砖房，是多磨幸福。', 'predict': '\'房盖\'和\'砖房\'属于"Part-Whole"（部分-整体）关系。'}
{'text': '瓶窑村现有三百多户人家，离城关约十公里的始丰溪畔。', 'predict': '瓶窑村和始丰溪畔属于Located关系。'}
{'text': '最突出的就是村前村后的两座山，村前靠南边的山叫前门山，是瓶窑人的宝库。', 'predict': '关系：Located'}
{'text': '是中国人民的母亲河。入海口宽<N>米，窄处<N>米，河深<N>.<N>米，也有<N>.<N>~<N>.<N>米。史记：天下黄河不桥。', 'predict': "关系：Part-Whole\n\n'中国人民的母亲河'是整体，而'黄河'是其中的一部分，因此它们属于Part-Whole关系。"}
{'text': '一位穿着长裙的女士摔倒在货筐旁边，货筐里的东西也撒了满地。', 'predict': '关系：Near, Part-Whole'}
